"Consensus_bnumber"	"Consensus_symbol"	"Consensus_start"	"Consensus_stop"	"Consensus_strand"	"Consensus_TF"	"RegulonDB_gene_id"	"RegulonDB_symbol"	"RegulonDB_bnumber"	"RegulonDB_start"	"RegulonDB_stop"	"RegulonDB_strand"	"RegulonDB_type"	"RegulonDB_product_id"	"RegulonDB_product_name"	"RegulonDB_product_type"	"gene_synonyms"	"product_synonyms"	"RegulonDB_TF"	"Zika_gene_id"	"Zika_symbol"	"Zika_bnumber"	"Zika_essentiality"	"Zika_product"	"Zika_start"	"Zika_stop"	"Zika_strand"	"Zika_type"	"Zika_TF"	"test_start"	"test_stop"	"test_strand"
"U00096_ncRNA_3999213_3999357"	"yigE5'"	"3999214"	"3999357"	"+"	"0"	"ECK125272710"	"yigE5'"	NA	"3999214"	"3999357"	"+"	NA	"ECK125272711"	"YigE5'"	"small RNA"	"U00096_ncRNA_3999213_3999357,yigE5p,yigE5',ECK125272710"	"RNA0-366,ECK125272711"	"0"	"9011"	"yigE5p"	"U00096_ncRNA_3999213_3999357"	NA	"yigE5p"	"3999214"	"3999357"	"+"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_4054006_4054201"	"glnA3'"	"4054007"	"4054201"	"-"	"0"	"ECK125122003"	"glnA3'"	NA	"4054007"	"4054201"	"-"	NA	"ECK125122021"	"GlnA3'"	"small RNA"	"U00096_ncRNA_4054006_4054201,glnA3p,glnA3',ECK125122003"	"ig:2384,ECK125122021"	"0"	"9018"	"glnA3p"	"U00096_ncRNA_4054006_4054201"	NA	"glnA3p"	"4054007"	"4054201"	"-"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_4056193_4056265"	"typA5'"	"4056194"	"4056265"	"+"	"0"	"ECK125272714"	"typA5'"	NA	"4056194"	"4056265"	"+"	NA	"ECK125272715"	"TypA5'"	"small RNA"	"U00096_ncRNA_4056193_4056265,typA5p,typA5',ECK125272714"	"RNA0-367,ECK125272715"	"0"	"9019"	"typA5p"	"U00096_ncRNA_4056193_4056265"	NA	"typA5p"	"4056194"	"4056265"	"+"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_4230811_4231337"	"lysC5'"	"4230812"	"4231337"	"-"	"0"	"ECK125121993"	"lysC5'"	NA	"4230812"	"4231337"	"-"	NA	"ECK125122017"	"LysC5'"	"small RNA"	"U00096_ncRNA_4230811_4231337,lysC5p,lysC5',ECK125121993"	"ig:2483,lysC (L box) 5',lysC5',ECK125122017"	"0"	"9029"	"lysC5p"	"U00096_ncRNA_4230811_4231337"	NA	"lysC5p"	"4230812"	"4231337"	"-"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_4439247_4439353"	"ytfL5'"	"4439248"	"4439353"	"-"	"0"	"ECK125272712"	"ytfL5'"	NA	"4439248"	"4439353"	"-"	NA	"ECK125272713"	"YtfL5'"	"small RNA"	"U00096_ncRNA_4439247_4439353,ytfL5p,ytfL5',ECK125272712"	"RNA0-368,ECK125272713"	"0"	"9042"	"ytfL5p"	"U00096_ncRNA_4439247_4439353"	NA	"ytfL5p"	"4439248"	"4439353"	"-"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_4441224_4441330"	"G0-10706"	"4441225"	"4441330"	"-"	"0"	"ECK125135311"	NA	NA	"4441225"	"4441330"	"-"	NA	"ECK125135312"	"small RNA"	"small RNA"	"G0-10706,U00096_ncRNA_4441224_4441330,NA,ECK125135311"	"U00096_ncRNA_4441224_4441330,ECK125135312"	"0"	"9043"	"G0-10706"	"U00096_ncRNA_4441224_4441330"	NA	"G0-10706"	"4441225"	"4441330"	"-"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_4464819_4465199"	"mgtA5'"	"4464820"	"4465199"	"+"	"0"	"ECK125121995"	"mgtA5'"	NA	"4464820"	"4465199"	"+"	NA	"ECK125122018"	"MgtA5'"	"small RNA"	"U00096_ncRNA_4464819_4465199,mgtA5p,mgtA5',ECK125121995"	"ig:2625,ECK125122018"	"0"	"9044"	"mgtA5p"	"U00096_ncRNA_4464819_4465199"	NA	"mgtA5p"	"4464820"	"4465199"	"+"	"ncRNA"	NA	NA	NA	NA
"U00096_ncRNA_4541229_4541277"	"fimA3'"	"4541230"	"4541277"	"+"	"0"	"ECK125121997"	"fimA3'"	NA	"4541230"	"4541277"	"+"	NA	"ECK125122019"	"FimA3'"	"small RNA"	"U00096_ncRNA_4541229_4541277,fimA3p,fimA3',ECK125121997"	"fimX,ECK125122019"	"0"	"9051"	"fimA3p"	"U00096_ncRNA_4541229_4541277"	NA	"fimA3p"	"4541230"	"4541277"	"+"	"ncRNA"	NA	NA	NA	NA
"b4759"	"3'ETS<sup><i>leuZ</i></sup>"	"1991748"	"1991814"	"-"	"0"	"ECK125229289"	"3'ETS<sup><i>leuZ</i></sup>"	"b4759"	"1991748"	"1991814"	"-"	NA	"ECK125229296"	"3'ETS-leuZ"	"small RNA"	"b4759,ECK4616,G0-16636,b4759_ncRNA_1991747_1991814,3pETS-leuZ,3'ETS<sup><i>leuZ</i></sup>,ECK125229289"	"3'ETS<sup><i>leuZ</i></sup>,G0-16636,ECK125229296"	"0"	"8888"	"3pETS-leuZ"	"b4759_ncRNA_1991747_1991814"	NA	"3pETS-leuZ"	"1991748"	"1991814"	"-"	"ncRNA"	NA	"1"	"1"	"1"
"b4634"	"aaaD"	"581354"	"581662"	"+"	"0"	"ECK125276498"	"aaaD"	"b4634"	"581354"	"581662"	"+"	"Pseudo Gene"	"ECK125276568"	"DLP12 prophage; protein AaaD"	NA	"b4634,ECK4439,G0-16718,ylcF,aaaD,ECK125276498"	"b4634,ECK125276568"	"0"	"4133"	"aaaD"	"b4634"	NA	"DLP12 prophage; protein AaaD"	"581354"	"581662"	"+"	"CDS"	NA	"1"	"1"	"1"
"b4693"	"aaaE"	"1204401"	"1205537"	"+"	"0"	"ECK125276503"	"aaaE"	"b4693"	"1204401"	"1205537"	"+"	"Pseudo Gene"	"ECK125276567"	"phage terminase"	NA	"b4693,ECK1135,G0-16720,aaaE,ECK125276503"	"b4693,ECK125276567"	"0"	"4145"	"aaaE"	"b4693"	NA	"phage terminase"	"1204401"	"1205537"	"+"	"CDS"	"0"	"1"	"1"	"1"
"b3241"	"aaeA"	"3388194"	"3389126"	"-"	"0"	"ECK120004233"	"aaeA"	"b3241"	"3388194"	"3389126"	"-"	NA	"ECK120008675"	"aromatic carboxylic acid efflux pump membrane fusion protein"	NA	"b3241,ECK3230,G7686,yhcQ,aaeA,ECK120004233"	"AaeA,YhcQ,ECK120008675"	"0"	"3086"	"aaeA"	"b3241"	NA	"aromatic carboxylic acid efflux pump membrane fusion protein"	"3388194"	"3389126"	"-"	"CDS"	NA	"1"	"1"	"1"
"b3240"	"aaeB"	"3386221"	"3388188"	"-"	"0"	"ECK120004232"	"aaeB"	"b3240"	"3386221"	"3388188"	"-"	NA	"ECK120008674"	"aromatic carboxylic acid efflux pump subunit AaeB"	NA	"b3240,ECK3229,G7685,yhcP,aaeB,ECK120004232"	"AaeB,YhcP,ECK120008674"	"0"	"3085"	"aaeB"	"b3240"	NA	"aromatic carboxylic acid efflux pump subunit AaeB"	"3386221"	"3388188"	"-"	"CDS"	NA	"1"	"1"	"1"
"b3243"	"aaeR"	"3389520"	"3390449"	"+"	"1"	"ECK120004235"	"aaeR"	"b3243"	"3389520"	"3390449"	"+"	NA	"ECK120008677"	"LysR-type transcriptional regulator AaeR"	NA	"b3243,ECK3232,G7688,qseA,yhcS,aaeR,ECK120004235"	"AaeR,QseA,quorum sensing transcriptional regulator of LYSR-type,YhcS,ECK120008677"	"0"	"1"	"aaeR"	"b3243"	"non-essential"	"LysR-type transcriptional regulator AaeR"	"3389520"	"3390449"	"+"	"CDS"	"1"	"1"	"1"	"1"
"b3242"	"aaeX"	"3389134"	"3389337"	"-"	"0"	"ECK120004234"	"aaeX"	"b3242"	"3389134"	"3389337"	"-"	NA	"ECK120008676"	"DUF1656 domain-containing protein AaeX"	NA	"b3242,ECK3231,G7687,yhcR,aaeX,ECK120004234"	"AaeX,YhcR,ECK120008676"	"0"	"3087"	"aaeX"	"b3242"	NA	"DUF1656 domain-containing protein AaeX"	"3389134"	"3389337"	"-"	"CDS"	NA	"1"	"1"	"1"
"b2836"	"aas"	"2973855"	"2976014"	"-"	"0"	"ECK120001622"	"aas"	"b2836"	"2973855"	"2976014"	"-"	NA	"ECK120006098"	"fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase"	NA	"b2836,ECK2832,EG11679,aas,ECK120001622"	"Aas,acyltransferase,ECK120006098"	"0"	"2748"	"aas"	"b2836"	NA	"acyltransferase"	"2973855"	"2976014"	"-"	"CDS"	NA	"1"	"1"	"1"
"b0885"	"aat"	"926728"	"927432"	"-"	"0"	"ECK120001098"	"aat"	"b0885"	"926728"	"927432"	"-"	NA	"ECK120005574"	"leucyl/phenylalanyl-tRNA&mdash;protein transferase"	NA	"b0885,ECK0876,EG11112,ycaA,aat,ECK120001098"	"Aat,leucyl, phenylalanyl-tRNA-protein transferase,YcaA,ECK120005574"	"0"	"1051"	"aat"	"b0885"	NA	"leucyl/phenylalanyl-tRNA--protein transferase"	"926728"	"927432"	"-"	"CDS"	NA	"1"	"1"	"1"
"b1338"	"abgA"	"1403255"	"1404565"	"-"	"0"	"ECK120003265"	"abgA"	"b1338"	"1403255"	"1404565"	"-"	NA	"ECK120007723"	"<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A"	NA	"b1338,ECK1334,G6670,ydaJ,abgA,ECK120003265"	"AbgA,YdaJ,ECK120007723"	"0"	"1460"	"abgA"	"b1338"	NA	"p-aminobenzoyl-glutamate hydrolase subunit A"	"1403255"	"1404565"	"-"	"CDS"	NA	"1"	"1"	"1"
"b1337"	"abgB"	"1401810"	"1403255"	"-"	"0"	"ECK120003264"	"abgB"	"b1337"	"1401810"	"1403255"	"-"	NA	"ECK120007722"	"<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B"	NA	"b1337,ECK1333,G6669,ydaI,abgB,ECK120003264"	"AbgB,YdaI,ECK120007722"	"0"	"1459"	"abgB"	"b1337"	NA	"p-aminobenzoyl-glutamate hydrolase subunit B"	"1401810"	"1403255"	"-"	"CDS"	NA	"1"	"1"	"1"
"b1339"	"abgR"	"1404741"	"1405649"	"+"	"1"	"ECK120003266"	"abgR"	"b1339"	"1404741"	"1405649"	"+"	NA	"ECK120007724"	"putative LysR-type DNA-binding transcriptional regulator AbgR"	NA	"b1339,ECK1335,G6671,abgR,ECK120003266"	"AbgR,ECK120007724"	"0"	"2"	"abgR"	"b1339"	"non-essential"	"putative LysR-type DNA-binding transcriptional regulator AbgR"	"1404741"	"1405649"	"+"	"CDS"	"1"	"1"	"1"	"1"
"b1336"	"abgT"	"1400247"	"1401773"	"-"	"0"	"ECK120002401"	"abgT"	"b1336"	"1400247"	"1401773"	"-"	NA	"ECK120006876"	"<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter"	NA	"b1336,ECK1332,EG12853,ydaH,abgT,ECK120002401"	"AbgT,YdaH,ECK120006876"	"0"	"1458"	"abgT"	"b1336"	NA	"p-aminobenzoyl glutamate:H(+) symporter"	"1400247"	"1401773"	"-"	"CDS"	NA	"1"	"1"	"1"
"b2628"	"abpA"	"2763537"	"2765153"	"-"	"0"	"ECK120003931"	"abpA"	"b2628"	"2763537"	"2765153"	"-"	NA	"ECK120008379"	"CP4-57 prophage; anti-bacteriophage protein"	NA	"b2628,ECK2624,G7363,yfjL,abpA,ECK120003931"	"AbpA,YfjL,ECK120008379"	"0"	"2580"	"yfjL"	"b2628"	NA	"CP4-57 prophage; anti-bacteriophage protein"	"2763537"	"2765153"	"-"	"CDS"	NA	"1"	"1"	"1"
"b2627"	"abpB"	"2761351"	"2763540"	"-"	"0"	"ECK120003930"	"abpB"	"b2627"	"2761351"	"2763540"	"-"	NA	"ECK120008378"	"CP4-57 prophage; putative helicase YfjK"	NA	"b2627,ECK2623,G7362,yfjK,abpB,ECK120003930"	"AbpB,CP4-57 prophage; anti-bacteriophage protein; mutations lead to radiation resistance,YfjK,ECK120008378"	"0"	"2579"	"yfjK"	"b2627"	NA	"CP4-57 prophage; putative helicase YfjK"	"2761351"	"2763540"	"-"	"CDS"	NA	"1"	"1"	"1"
"b0715"	"abrB"	"746723"	"747769"	"-"	"0"	"ECK120002984"	"abrB"	"b0715"	"746723"	"747769"	"-"	NA	"ECK120007449"	"putative regulator"	NA	"b0715,ECK0704,G6384,ybgN,abrB,ECK120002984"	"AbrB,YbgN,ECK120007449"	"0"	"898"	"abrB"	"b0715"	NA	"putative regulator"	"746723"	"747769"	"-"	"CDS"	NA	"1"	"1"	"1"
"b0185"	"accA"	"208621"	"209580"	"+"	"0"	"ECK120001591"	"accA"	"b0185"	"208621"	"209580"	"+"	NA	"ECK120006067"	"acetyl-CoA carboxyltransferase subunit &alpha;"	NA	"b0185,ECK0184,EG11647,accA,ECK120001591"	"AccA,ECK120006067"	"0"	"472"	"accA"	"b0185"	NA	"acetyl-CoA carboxyltransferase subunit alpha"	"208621"	"209580"	"+"	"CDS"	NA	"1"	"1"	"1"
"b3255"	"accB"	"3405436"	"3405906"	"+"	"1"	"ECK120000269"	"accB"	"b3255"	"3405436"	"3405906"	"+"	NA	"ECK120004745"	"biotin carboxyl carrier protein"	NA	"b3255,ECK3242,EG10275,fabE,accB,ECK120000269"	"AccB,apo-[acetyl-CoA:carbon-dioxide ligase (ADP forming)],BCCP,FabE,ECK120004745"	"1"	"3097"	"accB"	"b3255"	NA	"biotin carboxyl carrier protein"	"3405436"	"3405906"	"+"	"CDS"	"0"	"1"	"1"	"1"
"b3256"	"accC"	"3405917"	"3407266"	"+"	"0"	"ECK120000270"	"accC"	"b3256"	"3405917"	"3407266"	"+"	NA	"ECK120004746"	"biotin carboxylase"	NA	"b3256,ECK3243,EG10276,fabG,accC,ECK120000270"	"AccC,FabG,ECK120004746"	"0"	"3098"	"accC"	"b3256"	NA	"biotin carboxylase"	"3405917"	"3407266"	"+"	"CDS"	NA	"1"	"1"	"1"
"b2316"	"accD"	"2433012"	"2433926"	"-"	"0"	"ECK120000211"	"accD"	"b2316"	"2433012"	"2433926"	"-"	NA	"ECK120004687"	"acetyl-CoA carboxyltransferase subunit &beta;"	NA	"b2316,dedB,ECK2310,EG10217,usg,accD,ECK120000211"	"AccD,DedB,Usg,ECK120004687"	"0"	"2300"	"accD"	"b2316"	NA	"acetyl-CoA carboxyltransferase subunit beta"	"2433012"	"2433926"	"-"	"CDS"	NA	"1"	"1"	"1"
"b4015"	"aceA"	"4217109"	"4218413"	"+"	"0"	"ECK120000019"	"aceA"	"b4015"	"4217109"	"4218413"	"+"	NA	"ECK120004495"	"isocitrate lyase"	NA	"b4015,ECK4007,EG10022,icl,aceA,ECK120000019"	"AceA,Icl,ECK120004495"	"0"	"3745"	"aceA"	"b4015"	NA	"isocitrate lyase"	"4217109"	"4218413"	"+"	"CDS"	NA	"1"	"1"	"1"
"b4014"	"aceB"	"4215478"	"4217079"	"+"	"0"	"ECK120000020"	"aceB"	"b4014"	"4215478"	"4217079"	"+"	NA	"ECK120004496"	"malate synthase A"	NA	"b4014,ECK4006,EG10023,mas,aceB,ECK120000020"	"AceB,Mas,ECK120004496"	"0"	"3744"	"aceB"	"b4014"	NA	"malate synthase A"	"4215478"	"4217079"	"+"	"CDS"	NA	"1"	"1"	"1"
"b0114"	"aceE"	"123017"	"125680"	"+"	"0"	"ECK120000021"	"aceE"	"b0114"	"123017"	"125680"	"+"	NA	"ECK120004497"	"pyruvate dehydrogenase E1 component"	NA	"b0114,ECK0113,EG10024,aceE,ECK120000021"	"AceE,subunit of E1p component of pyruvate dehydrogenase complex,ECK120004497"	"0"	"405"	"aceE"	"b0114"	NA	"pyruvate dehydrogenase E1 component"	"123017"	"125680"	"+"	"CDS"	NA	"1"	"1"	"1"
"b0115"	"aceF"	"125695"	"127587"	"+"	"0"	"ECK120000022"	"aceF"	"b0115"	"125695"	"127587"	"+"	NA	"ECK120004498"	"pyruvate dehydrogenase, E2 subunit"	NA	"b0115,ECK0114,EG10025,aceF,ECK120000022"	"AceF,dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,ECK120004498"	"0"	"406"	"aceF"	"b0115"	NA	"pyruvate dehydrogenase, E2 subunit"	"125695"	"127587"	"+"	"CDS"	NA	"1"	"1"	"1"
"b4016"	"aceK"	"4218596"	"4220332"	"+"	"0"	"ECK120000023"	"aceK"	"b4016"	"4218596"	"4220332"	"+"	NA	"ECK120004499"	"isocitrate dehydrogenase kinase/phosphatase"	NA	"b4016,ECK4008,EG10026,aceK,ECK120000023"	"AceK,ECK120004499"	"0"	"3746"	"aceK"	"b4016"	NA	"isocitrate dehydrogenase kinase/phosphatase"	"4218596"	"4220332"	"+"	"CDS"	NA	"1"	"1"	"1"
"ECK125289056"	"aceK-int"	"4218927"	"4218963"	"+"	"0"	"ECK125289056"	"aceK-int"	NA	"4218927"	"4218963"	"+"	NA	"ECK125289057"	"aceK-int"	"small RNA"	"ECK125289056,NA,aceK-int"	"ECK125289056,ECK125289057"	"0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"b2296"	"ackA"	"2413470"	"2414672"	"+"	"0"	"ECK120000024"	"ackA"	"b2296"	"2413470"	"2414672"	"+"	NA	"ECK120004500"	"acetate kinase"	NA	"b2296,ECK2290,EG10027,ackA,ECK120000024"	"acetate kinase A,AckA,propionate kinase 2,ECK120004500"	"0"	"2280"	"ackA"	"b2296"	NA	"acetate kinase"	"2413470"	"2414672"	"+"	"CDS"	NA	"1"	"1"	"1"
"ECK120002672"	"ackB"	"1"	"1"	NA	"0"	"ECK120002672"	"ackB"	NA	NA	NA	NA	"Phantom Gene"	NA	NA	NA	"G14,NA,ackB,ECK120002672"	"ECK120002672,NA"	"0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"b1276"	"acnA"	"1335831"	"1338506"	"+"	"0"	"ECK120001296"	"acnA"	"b1276"	"1335831"	"1338506"	"+"	NA	"ECK120005772"	"aconitate hydratase 1"	NA	"acn,b1276,ECK1271,EG11325,acnA,ECK120001296"	"Acn,AcnA,ECK120005772"	"0"	"1406"	"acnA"	"b1276"	NA	"aconitate hydratase 1"	"1335831"	"1338506"	"+"	"CDS"	NA	"1"	"1"	"1"
"b0118"	"acnB"	"131615"	"134212"	"+"	"0"	"ECK120002193"	"acnB"	"b0118"	"131615"	"134212"	"+"	NA	"ECK120006668"	"AcnB"	NA	"b0118,ECK0117,EG12316,yacI,yacJ,acnB,ECK120002193"	"YacI,YacJ,ECK120006668"	"0"	"409"	"acnB"	"b0118"	NA	"hypothetical protein"	"131615"	"134212"	"+"	"CDS"	NA	"1"	"1"	"1"
"b0404"	"acpH"	"424337"	"424918"	"-"	"0"	"ECK120001083"	"acpH"	"b0404"	"424337"	"424918"	"-"	NA	"ECK120005559"	"acyl carrier protein phosphodiesterase"	NA	"b0404,ECK0398,EG11095,yajB,acpH,ECK120001083"	"AcpH,YajB,ECK120005559"	"0"	"641"	"acpH"	"b0404"	NA	"acyl carrier protein phosphodiesterase"	"424337"	"424918"	"-"	"CDS"	NA	"1"	"1"	"1"
"b1094"	"acpP"	"1151615"	"1151851"	"+"	"0"	"ECK120002562"	"acpP"	"b1094"	"1151615"	"1151851"	"+"	NA	"ECK120048870"	"acyl carrier protein"	NA	"b1094,ECK1080,EG50003,acpP,ECK120002562"	"ACP,AcpP,apo-[acyl carrier protein],apo-ACP,apoprotein [acyl carrier protein],ECK120048870"	"0"	"1240"	"acpP"	"b1094"	NA	"acyl carrier protein"	"1151615"	"1151851"	"+"	"CDS"	NA	"1"	"1"	"1"
"b2563"	"acpS"	"2700618"	"2700998"	"-"	"0"	"ECK120000241"	"acpS"	"b2563"	"2700618"	"2700998"	"-"	NA	"ECK120004717"	"holo-[acyl-carrier-protein] synthase"	NA	"b2563,dpj,ECK2561,EG10247,acpS,ECK120000241"	"AcpS,AcpSholo,Dpj,ECK120004717"	"0"	"2524"	"acpS"	"b2563"	NA	"holo-[acyl-carrier-protein] synthase"	"2700618"	"2700998"	"-"	"CDS"	"0"	"1"	"1"	"1"
"b3475"	"acpT"	"3612969"	"3613556"	"+"	"0"	"ECK120002107"	"acpT"	"b3475"	"3612969"	"3613556"	"+"	NA	"ECK120006583"	"holo-[acyl carrier protein] synthase 2"	NA	"b3475,ECK3459,EG12221,yhhU,acpT,ECK120002107"	"AcpT,o195,ORF195,YhhU,ECK120006583"	"0"	"4094"	"acpT"	"b3475"	NA	"holo-[acyl carrier protein] synthase 2"	"3612969"	"3613556"	"+"	"CDS"	NA	"1"	"1"	"1"
"b0463"	"acrA"	"484426"	"485619"	"-"	"0"	"ECK120001646"	"acrA"	"b0463"	"484426"	"485619"	"-"	NA	"ECK120006122"	"multidrug efflux pump membrane fusion lipoprotein AcrA"	NA	"b0463,ECK0457,EG11703,lir,Mb,mbl,mtcA,nbsA,sipB,acrA,ECK120001646"	"AcrA,AcrA membrane fusion protein,acridine efflux pump,Lir,Mbl,MtcA,NbsA,periplasmic adaptor protein AcrA,SipB,ECK120006122"	"0"	"694"	"acrA"	"b0463"	NA	"multidrug efflux pump membrane fusion lipoprotein AcrA"	"484426"	"485619"	"-"	"CDS"	NA	"1"	"1"	"1"
"b0462"	"acrB"	"481254"	"484403"	"-"	"0"	"ECK120001647"	"acrB"	"b0462"	"481254"	"484403"	"-"	NA	"ECK120006123"	"multidrug efflux pump RND permease AcrB"	NA	"acrE,b0462,ECK0456,EG11704,acrB,ECK120001647"	"AcrB,AcrB RND permease,AcrE,acriflavine resistance protein B,ECK120006123"	"0"	"693"	"acrB"	"b0462"	NA	"multidrug efflux pump RND permease AcrB"	"481254"	"484403"	"-"	"CDS"	NA	"1"	"1"	"1"
