"Zika_gene_id"	"Zika_bnumber"	"Zika_symbol"	"Zika_essentiality"	"Zika_product"	"Zika_start"	"Zika_stop"	"Zika_strand"	"Zika_type"	"Zika_TF"	"Zika_parsed_bnum"
25	"b0435"	"bolA"	"non-essential"	"DNA-binding transcriptional dual regulator BolA"	454472	454789	"+"	"CDS"	1	"b0435"
26	"b4133"	"cadC"	"non-essential"	"DNA-binding transcriptional activator CadC"	4360396	4361934	"-"	"CDS"	1	"b4133"
27	"b0034"	"caiF"	"non-essential"	"DNA-binding transcriptional activator CaiF"	34300	34695	"+"	"CDS"	1	"b0034"
28	"b1987"	"cbl"	"non-essential"	"DNA-binding transcriptional activator Cbl"	2059964	2060914	"-"	"CDS"	1	"b1987"
29	"b0162"	"cdaR"	"non-essential"	"DNA-binding transcriptional activator CdaR"	182463	183620	"+"	"CDS"	1	"b0162"
30	"b1735"	"chbR"	"non-essential"	"DNA-binding transcriptional dual regulator ChbR"	1818605	1819447	"-"	"CDS"	1	"b1735"
31	"b4224"	"chpS"	"essential"	"ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system"	4448447	4448698	"+"	"CDS"	0	"b4224"
32	"b1625"	"cnu"	"non-essential"	"H-NS- and StpA-binding protein"	1704949	1705164	"+"	"CDS"	1	"b1625"
33	"b3912"	"cpxR"	"non-essential"	"DNA-binding transcriptional dual regulator CpxR"	4104972	4105670	"-"	"CDS"	1	"b3912"
34	"b4398"	"creB"	"non-essential"	"DNA-binding transcriptional regulator CreB"	4636007	4636696	"+"	"CDS"	1	"b4398"
35	"b3357"	"crp"	"non-essential"	"DNA-binding transcriptional dual regulator CRP"	3486120	3486752	"+"	"CDS"	1	"b3357"
36	"b1040"	"csgD"	"non-essential"	"DNA-binding transcriptional dual regulator CsgD"	1102546	1103196	"-"	"CDS"	1	"b1040"
37	"b2664"	"csiR"	"non-essential"	"DNA-binding transcriptional repressor CsiR"	2795674	2796336	"+"	"CDS"	1	"b2664"
38	"b3556"	"cspA"	"non-essential"	"cold shock protein CspA"	3720049	3720261	"+"	"CDS"	1	"b3556"
39	"b1557"	"cspB"	"non-essential"	"Qin prophage; cold shock-like protein CspB"	1641339	1641554	"-"	"CDS"	0	"b1557"
40	"b1823"	"cspC"	"non-essential"	"stress protein, member of the CspA family"	1907226	1907435	"-"	"CDS"	0	"b1823"
41	"b0880"	"cspD"	"non-essential"	"DNA replication inhibitor"	922366	922590	"-"	"CDS"	0	"b0880"
42	"b0623"	"cspE"	"non-essential"	"transcription antiterminator and regulator of RNA stability"	657292	657501	"+"	"CDS"	0	"b0623"
43	"b1558"	"cspF"	"non-essential"	"Qin prophage; cold shock protein CspF"	1641855	1642067	"+"	"CDS"	0	"b1558"
44	"b0990"	"cspG"	"non-essential"	"cold shock protein CspG"	1051461	1051673	"+"	"CDS"	0	"b0990"
45	"b0989"	"cspH"	"non-essential"	"CspA family protein CspH"	1050963	1051175	"-"	"CDS"	0	"b0989"
46	"b1552"	"cspI"	"non-essential"	"Qin prophage; cold shock protein CspI"	1638455	1638667	"-"	"CDS"	0	"b1552"
47	"b0487"	"cueR"	"non-essential"	"DNA-binding transcriptional dual regulator CueR"	513993	514400	"+"	"CDS"	1	"b0487"
48	"b0571"	"cusR"	"non-essential"	"DNA-binding transcriptional activator CusR"	594760	595443	"-"	"CDS"	1	"b0571"
49	"b0338"	"cynR"	"non-essential"	"DNA-binding transcriptional dual regulator CynR"	357791	358690	"-"	"CDS"	1	"b0338"
50	"b1275"	"cysB"	"non-essential"	"DNA-binding transcriptional dual regulator CysB"	1333855	1334829	"+"	"CDS"	1	"b1275"
51	"b3934"	"cytR"	"non-essential"	"DNA-binding transcriptional repressor CytR"	4123431	4124456	"-"	"CDS"	1	"b3934"
52	"b4000"	"hupA"	"non-essential"	"DNA-binding protein HU-alpha"	4200281	4200553	"+"	"CDS"	1	"b4000"
53	"b0440"	"hupB"	"non-essential"	"DNA-binding protein HU-beta"	461451	461723	"+"	"CDS"	1	"b0440"
54	"b3507"	"dctR"	"non-essential"	"putative DNA-binding transcriptional regulator DctR"	3654683	3655213	"+"	"CDS"	1	"b3507"
55	"b4124"	"dcuR"	"non-essential"	"DNA-binding transcriptional activator DcuR"	4349315	4350034	"-"	"CDS"	1	"b4124"
56	"b0840"	"deoR"	"non-essential"	"DNA-binding transcriptional repressor DeoR"	881976	882734	"-"	"CDS"	1	"b0840"
57	"b4479"	"dgoR"	"non-essential"	"putative DNA-binding transcriptional regulator DgoR"	3874471	3875160	"-"	"CDS"	1	"b4479"
58	"b1201"	"dhaR"	"non-essential"	"DNA-binding transcriptional dual regulator DhaR"	1251066	1252985	"+"	"CDS"	1	"b1201"
59	"b1570"	"dicA"	"essential"	"DNA-binding transcriptional dual regulator DicA"	1647934	1648341	"+"	"CDS"	1	"b1570"
60	"b1569"	"dicC"	"non-essential"	"Qin prophage; DNA-binding transcriptional regulator for DicB"	1647620	1647850	"-"	"CDS"	1	"b1569"
61	"b1799"	"yeaT"	"non-essential"	"DNA-binding transcriptional regulator DmlR"	1880886	1881809	"-"	"CDS"	1	"b1799"
62	"b3702"	"dnaA"	"essential"	"chromosomal replication initiator protein DnaA"	3882326	3883729	"-"	"CDS"	1	"b3702"
63	"b0620"	"citB"	"non-essential"	"DNA-binding transcriptional dual regulator DpiA"	653862	654542	"+"	"CDS"	1	"b0620"
64	"b2364"	"dsdC"	"non-essential"	"DNA-binding transcriptional dual regulator DsdC"	2476694	2477629	"-"	"CDS"	1	"b2364"
65	"b3075"	"ebgR"	"non-essential"	"DNA-binding transcriptional repressor EbgR"	3221466	3222449	"+"	"CDS"	1	"b3075"
66	"b3264"	"envR"	"non-essential"	"DNA-binding transcriptional repressor EnvR"	3412803	3413465	"-"	"CDS"	1	"b3264"
67	"b0566"	"envY"	"non-essential"	"DNA-binding transcriptional activator EnvY"	586147	586908	"-"	"CDS"	1	"b0566"
68	"b2437"	"eutR"	"non-essential"	"putative AraC-type transcriptional regulator EutR"	2554130	2555182	"-"	"CDS"	1	"b2437"
69	"b2369"	"evgA"	"non-essential"	"DNA-binding transcriptional activator EvgA"	2483755	2484369	"+"	"CDS"	1	"b2369"
70	"b3094"	"exuR"	"non-essential"	"DNA-binding transcriptional repressor ExuR"	3246652	3247428	"+"	"CDS"	1	"b3094"
71	"b3963"	"fabR"	"non-essential"	"DNA-binding transcriptional repressor FabR"	4161067	4161771	"+"	"CDS"	1	"b3963"
72	"b1187"	"fadR"	"non-essential"	"DNA-binding transcriptional dual regulator FadR"	1234938	1235657	"+"	"CDS"	1	"b1187"
73	"b1384"	"feaR"	"non-essential"	"DNA-binding transcriptional activator FeaR"	1446378	1447283	"-"	"CDS"	1	"b1384"
74	"b2731"	"fhlA"	"non-essential"	"DNA-binding transcriptional activator FhlA"	2854338	2856416	"+"	"CDS"	1	"b2731"
75	"b0535"	"fimZ"	"non-essential"	"putative LuxR family transcriptional regulator FimZ"	563848	564480	"-"	"CDS"	1	"b0535"
76	"b3261"	"fis"	"non-essential"	"DNA-binding transcriptional dual regulator Fis"	3411271	3411567	"+"	"CDS"	1	"b3261"
77	"b1891"	"flhC"	"non-essential"	"DNA-binding transcriptional dual regulator FlhC"	1977266	1977844	"-"	"CDS"	1	"b1891"
78	"b1892"	"flhD"	"non-essential"	"DNA-binding transcriptional dual regulator FlhD"	1977847	1978197	"-"	"CDS"	1	"b1892"
79	"b1334"	"fnr"	"non-essential"	"DNA-binding transcriptional dual regulator FNR"	1398774	1399526	"-"	"CDS"	1	"b1334"
80	"b3375"	"yhfR"	"non-essential"	"putative DNA-binding transcriptional regulator FrlR"	3504052	3504783	"+"	"CDS"	1	"b3375"
81	"b0080"	"fruR"	"non-essential"	"DNA-binding transcriptional dual regulator Cra"	88028	89032	"+"	"CDS"	1	"b0080"
82	"b3897"	"frvR"	"non-essential"	"putative transcriptional regulator FrvR"	4088107	4089855	"-"	"CDS"	1	"b3897"
83	"b2805"	"fucR"	"non-essential"	"DNA-binding transcriptional activator FucR"	2939368	2940099	"+"	"CDS"	1	"b2805"
84	"b0683"	"fur"	"non-essential"	"DNA-binding transcriptional dual regulator Fur"	710200	710646	"-"	"CDS"	1	"b0683"
85	"b3512"	"gadE"	"non-essential"	"DNA-binding transcriptional activator GadE"	3658366	3658893	"+"	"CDS"	1	"b3512"
86	"b3515"	"gadW"	"non-essential"	"DNA-binding transcriptional dual regulator GadW"	3663890	3664618	"-"	"CDS"	1	"b3515"
87	"b3516"	"gadX"	"non-essential"	"DNA-binding transcriptional dual regulator GadX"	3664986	3665810	"-"	"CDS"	1	"b3516"
88	"b2837"	"galR"	"non-essential"	"DNA-binding transcriptional dual regulator GalR"	2976599	2977630	"+"	"CDS"	1	"b2837"
89	"b2151"	"galS"	"non-essential"	"DNA-binding transcriptional dual regulator GalS"	2240628	2241668	"-"	"CDS"	1	"b2151"
90	"b2808"	"gcvA"	"non-essential"	"DNA-binding transcriptional dual regulator GcvA"	2941650	2942567	"-"	"CDS"	1	"b2808"
91	"b2980"	"glcC"	"non-essential"	"DNA-binding transcriptional dual regulator GlcC"	3128272	3129036	"+"	"CDS"	1	"b2980"
92	"b3423"	"glpR"	"non-essential"	"DNA-binding transcriptional repressor GlpR"	3559848	3560605	"-"	"CDS"	1	"b3423"
93	"b3438"	"gntR"	"non-essential"	"DNA-binding transcriptional repressor GntR"	3577731	3578726	"-"	"CDS"	1	"b3438"
94	"b2706"	"gutM"	"non-essential"	"DNA-binding transcriptional activator GutM"	2828621	2828980	"+"	"CDS"	1	"b2706"
95	"b2537"	"hcaR"	"non-essential"	"DNA-binding transcriptional dual regulator HcaR"	2668006	2668896	"-"	"CDS"	1	"b2537"
96	"b4480"	"hdfR"	"non-essential"	"DNA-binding transcriptional dual regulator HdfR"	3947128	3947967	"-"	"CDS"	1	"b4480"
97	"b1853"	"yebK"	"non-essential"	"DNA-binding transcriptional repressor YebK"	1936652	1937521	"+"	"CDS"	1	"b1853"
98	"b0460"	"hha"	"non-essential"	"hemolysin expression modulating protein"	480090	480308	"-"	"CDS"	1	"b0460"
99	"b1438"	"ydcQ"	"non-essential"	"antitoxin of the HicA-HicB toxin-antitoxin system"	1509508	1509924	"+"	"CDS"	1	"b1438"
100	"b3082"	"higA"	"non-essential"	"antitoxin/DNA-binding transcriptional repressor HigA"	3233728	3234144	"-"	"CDS"	1	"b3082"
101	"b1507"	"hipA"	"non-essential"	"serine/threonine kinase HipA"	1590854	1592176	"-"	"CDS"	1	"b1507"
102	"b1508"	"hipB"	"non-essential"	"antitoxin/DNA-binding transcriptional repressor HipB"	1592176	1592442	"-"	"CDS"	1	"b1508"
103	"b1237"	"hns"	"non-essential"	"DNA-binding transcriptional dual regulator H-NS"	1292509	1292922	"-"	"CDS"	1	"b1237"
104	"b2725"	"hycA"	"non-essential"	"regulator of the transcriptional regulator FhlA"	2849974	2850435	"-"	"CDS"	0	"b2725"
105	"b2491"	"hyfR"	"non-essential"	"DNA-binding transcriptional activator HyfR"	2611900	2613912	"+"	"CDS"	1	"b2491"
106	"b2916"	"argP"	"non-essential"	"DNA-binding transcriptional dual regulator ArgP"	3059753	3060646	"+"	"CDS"	1	"b2916"
107	"b4018"	"iclR"	"non-essential"	"DNA-binding transcriptional repressor IclR"	4222804	4223628	"-"	"CDS"	1	"b4018"
108	"b4264"	"idnR"	"non-essential"	"DNA-binding transcriptional dual regulator IdnR"	4490141	4491139	"-"	"CDS"	1	"b4264"
109	"b1712"	"ihfA"	"non-essential"	"integration host factor subunit alpha"	1795253	1795552	"-"	"CDS"	1	"b1712"
110	"b0912"	"ihfB"	"non-essential"	"integration host factor subunit beta"	963828	964112	"+"	"CDS"	1	"b0912"
111	"b3773"	"ilvY"	"non-essential"	"DNA-binding transcriptional dual regulator IlvY"	3956927	3957820	"-"	"CDS"	1	"b3773"
112	"b2531"	"iscR"	"non-essential"	"DNA-binding transcriptional dual regulator IscR"	2661643	2662131	"-"	"CDS"	1	"b2531"
113	"b1827"	"kdgR"	"non-essential"	"DNA-binding transcriptional repressor KdgR"	1909308	1910099	"-"	"CDS"	1	"b1827"
114	"b0694"	"kdpE"	"non-essential"	"DNA-binding transcriptional activator KdpE"	721056	721733	"-"	"CDS"	1	"b0694"
115	"b0345"	"lacI"	"non-essential"	"DNA-binding transcriptional repressor LacI"	366428	367510	"-"	"CDS"	1	"b0345"
116	"b0076"	"leuO"	"non-essential"	"DNA-binding transcriptional dual regulator LeuO"	84368	85312	"+"	"CDS"	1	"b0076"
117	"b4043"	"lexA"	"essential"	"DNA-binding transcriptional repressor LexA"	4257115	4257723	"+"	"CDS"	1	"b4043"
118	"b3604"	"lldR"	"non-essential"	"DNA-binding transcriptional dual regulator LldR"	3779054	3779830	"+"	"CDS"	1	"b3604"
119	"b2289"	"lrhA"	"non-essential"	"DNA-binding transcriptional dual regulator LrhA"	2405703	2406641	"-"	"CDS"	1	"b2289"
120	"b0889"	"lrp"	"non-essential"	"DNA-binding transcriptional dual regulator Lrp"	932595	933089	"+"	"CDS"	1	"b0889"
121	"b1512"	"lsrR"	"non-essential"	"DNA-binding transcriptional repressor LsrR"	1600288	1601241	"-"	"CDS"	1	"b1512"
122	"b2839"	"lysR"	"non-essential"	"DNA-binding transcriptional dual regulator LysR"	2979021	2979956	"+"	"CDS"	1	"b2839"
123	"b0394"	"mak"	"non-essential"	"manno(fructo)kinase"	410144	411052	"+"	"CDS"	0	"b0394"
124	"b1620"	"malI"	"non-essential"	"DNA-binding transcriptional repressor MalI"	1698152	1699180	"-"	"CDS"	1	"b1620"
125	"b3418"	"malT"	"non-essential"	"DNA-binding transcriptional activator MalT"	3553085	3555790	"+"	"CDS"	1	"b3418"
126	"b1531"	"marA"	"non-essential"	"DNA-binding transcriptional dual regulator MarA"	1619574	1619957	"+"	"CDS"	1	"b1531"
127	"b1530"	"marR"	"non-essential"	"DNA-binding transcriptional repressor MarR"	1619120	1619554	"+"	"CDS"	1	"b1530"
128	"b0294"	"matA"	"non-essential"	"DNA-binding transcriptional dual regulator MatA"	310746	311336	"-"	"CDS"	1	"b0294"
129	"b2783"	"mazE"	"essential"	"antitoxin of the MazF-MazE toxin-antitoxin system MazE"	2911091	2911339	"-"	"CDS"	1	"b2783"
130	"b1450"	"yncC"	"non-essential"	"DNA-binding transcriptional dual regulator McbR"	1520262	1520927	"+"	"CDS"	1	"b1450"
131	"b4118"	"melR"	"non-essential"	"DNA-binding transcriptional dual regulator MelR"	4340720	4341628	"-"	"CDS"	1	"b4118"
132	"b3938"	"metJ"	"non-essential"	"DNA-binding transcriptional repressor MetJ"	4128078	4128395	"-"	"CDS"	1	"b3938"
133	"b3828"	"metR"	"non-essential"	"DNA-binding transcriptional dual regulator MetR"	4011863	4012816	"-"	"CDS"	1	"b3828"
134	"b0346"	"mhpR"	"non-essential"	"DNA-binding transcriptional activator MhpR"	367587	368420	"-"	"CDS"	1	"b0346"
135	"b1594"	"dgsA"	"non-essential"	"DNA-binding transcriptional repressor Mlc"	1667344	1668564	"-"	"CDS"	1	"b1594"
136	"b2127"	"mlrA"	"non-essential"	"DNA-binding transcriptional activator MlrA"	2214866	2215597	"+"	"CDS"	1	"b2127"
137	"b0730"	"mngR"	"non-essential"	"DNA-binding transcriptional repressor MngR"	765153	765875	"-"	"CDS"	1	"b0730"
138	"b0817"	"mntR"	"non-essential"	"DNA-binding transcriptional dual regulator MntR"	853183	853650	"+"	"CDS"	1	"b0817"
139	"b0761"	"modE"	"non-essential"	"DNA-binding transcriptional dual regulator ModE"	793856	794644	"-"	"CDS"	1	"b0761"
140	"b2684"	"mprA"	"non-essential"	"DNA-binding transcriptional repressor MprA"	2810770	2811300	"+"	"CDS"	1	"b2684"
141	"b3021"	"ygiT"	"essential"	"antitoxin of the MqsRA toxin-antitoxin system/DNA-binding transcriptional repressor MqsA"	3167851	3168246	"-"	"CDS"	1	"b3021"
142	"b3022"	"mqsR"	"non-essential"	"mRNA interferase/toxin of the MqsR-MqsA toxin-antitoxin system"	3168248	3168544	"-"	"CDS"	1	"b3022"
143	"b3601"	"mtlR"	"non-essential"	"transcriptional repressor MtlR"	3775572	3776159	"+"	"CDS"	1	"b3601"
144	"b2427"	"yfeT"	"non-essential"	"DNA-binding transcriptional dual regulator MurR"	2544752	2545609	"-"	"CDS"	1	"b2427"
145	"b1988"	"nac"	"non-essential"	"DNA-binding transcriptional dual regulator Nac"	2061016	2061933	"-"	"CDS"	1	"b1988"
146	"b4390"	"nadR"	"non-essential"	"DNA-binding transcriptional repressor/NMN adenylyltransferase NadR"	4627315	4628547	"+"	"CDS"	1	"b4390"
147	"b0676"	"nagC"	"non-essential"	"DNA-binding transcriptional dual regulator NagC"	700374	701594	"-"	"CDS"	1	"b0676"
148	"b3226"	"nanR"	"non-essential"	"DNA-binding transcriptional dual regulator NanR"	3373698	3374489	"-"	"CDS"	1	"b3226"
149	"b1221"	"narL"	"non-essential"	"DNA-binding transcriptional dual regulator NarL"	1275179	1275829	"-"	"CDS"	1	"b1221"
150	"b2193"	"narP"	"non-essential"	"DNA-binding transcriptional dual regulator NarP"	2290500	2291147	"+"	"CDS"	1	"b2193"
151	"b1649"	"ydhM"	"non-essential"	"DNA-binding transcriptional repressor NemR"	1726023	1726622	"+"	"CDS"	1	"b1649"
152	"b0020"	"nhaR"	"non-essential"	"DNA-binding transcriptional activator NhaR"	18715	19620	"+"	"CDS"	1	"b0020"
153	"b3481"	"nikR"	"non-essential"	"DNA-binding transcriptional repressor NikR"	3618588	3618989	"+"	"CDS"	1	"b3481"
154	"b2709"	"norR"	"non-essential"	"DNA-binding transcriptional dual regulator NorR"	2830775	2832289	"-"	"CDS"	1	"b2709"
155	"b0413"	"nrdR"	"non-essential"	"NrdR transcriptional repressor"	433002	433451	"+"	"CDS"	1	"b0413"
156	"b2163"	"yeiL"	"non-essential"	"putative DNA-binding transcriptional regulator YeiL"	2255355	2256014	"+"	"CDS"	1	"b2163"
157	"b4178"	"nsrR"	"non-essential"	"DNA-binding transcriptional repressor NsrR"	4406190	4406615	"+"	"CDS"	1	"b4178"
158	"b3868"	"glnG"	"non-essential"	"DNA-binding transcriptional dual regulator NtrC"	4053869	4055278	"-"	"CDS"	1	"b3868"
159	"b2082"	"ogrK"	"non-essential"	"prophage P2 late control protein OgrK"	2167302	2167520	"-"	"CDS"	0	"b2082"
160	"b3405"	"ompR"	"non-essential"	"DNA-binding transcriptional dual regulator OmpR"	3535865	3536584	"-"	"CDS"	1	"b3405"
161	"b3961"	"oxyR"	"non-essential"	"DNA-binding transcriptional dual regulator OxyR"	4158490	4159407	"+"	"CDS"	1	"b3961"
162	"b1399"	"paaX"	"non-essential"	"DNA-binding transcriptional repressor PaaX"	1463539	1464489	"+"	"CDS"	1	"b1399"
163	"b0113"	"pdhR"	"non-essential"	"DNA-binding transcriptional dual regulator PdhR"	122092	122856	"+"	"CDS"	1	"b0113"
164	"b0254"	"perR"	"non-essential"	"putative transcriptional regulator PerR"	269289	270182	"-"	"CDS"	1	"b0254"
165	"b4102"	"phnF"	"non-essential"	"putative transcriptional regulator PhnF"	4321697	4322422	"-"	"CDS"	1	"b4102"
166	"b0399"	"phoB"	"non-essential"	"DNA-binding transcriptional dual regulator PhoB"	417142	417831	"+"	"CDS"	1	"b0399"
167	"b1130"	"phoP"	"non-essential"	"DNA-binding transcriptional dual regulator PhoP"	1189776	1190447	"-"	"CDS"	1	"b1130"
168	"b0330"	"prpR"	"non-essential"	"DNA-binding transcriptional dual regulator PrpR"	346857	348443	"-"	"CDS"	1	"b0330"
169	"b1306"	"pspC"	"non-essential"	"phage shock protein C"	1369025	1369384	"+"	"CDS"	0	"b1306"
170	"b1303"	"pspF"	"non-essential"	"DNA-binding transcriptional dual regulator PspF"	1366935	1367912	"-"	"CDS"	1	"b1303"
171	"b1658"	"purR"	"non-essential"	"DNA-binding transcriptional repressor PurR"	1737844	1738869	"+"	"CDS"	1	"b1658"
172	"b1014"	"putA"	"non-essential"	"fused DNA-binding transcriptional repressor/proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase PutA"	1074920	1078882	"-"	"CDS"	1	"b1014"
173	"b1299"	"puuR"	"non-essential"	"DNA-binding transcriptional repressor PuuR"	1361911	1362468	"+"	"CDS"	1	"b1299"
174	"b3025"	"qseB"	"non-essential"	"DNA-binding transcriptional activator QseB"	3169828	3170487	"+"	"CDS"	1	"b3025"
175	"b4327"	"yjiE"	"non-essential"	"DNA-binding transcriptional dual regulator HypT"	4557378	4558289	"-"	"CDS"	1	"b4327"
176	"b3753"	"rbsR"	"non-essential"	"DNA-binding transcriptional dual regulator RbsR"	3938227	3939219	"+"	"CDS"	1	"b3753"
177	"b2105"	"rcnR"	"non-essential"	"DNA-binding transcriptional repressor RcnR"	2185524	2185796	"-"	"CDS"	1	"b2105"
178	"b1951"	"rcsA"	"non-essential"	"DNA-binding transcriptional activator RcsA"	2023968	2024591	"+"	"CDS"	1	"b1951"
179	"b2217"	"rcsB"	"non-essential"	"DNA-binding transcriptional activator RcsB"	2316177	2316827	"+"	"CDS"	1	"b2217"
180	"b1564"	"relB"	"non-essential"	"Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB"	1645633	1645872	"-"	"CDS"	1	"b1564"
181	"b1563"	"relE"	"non-essential"	"Qin prophage; mRNA interferase toxin RelE"	1645346	1645633	"-"	"CDS"	1	"b1563"
182	"b3906"	"rhaR"	"non-essential"	"DNA-binding transcriptional activator RhaR"	4098646	4099494	"+"	"CDS"	1	"b3906"
183	"b3905"	"rhaS"	"non-essential"	"DNA-binding transcriptional activator RhaS"	4097736	4098572	"+"	"CDS"	1	"b3905"
184	"b2248"	"yfaX"	"non-essential"	"putative DNA-binding transcriptional regulator YfaX"	2361429	2362211	"-"	"CDS"	1	"b2248"
185	"b4396"	"rob"	"non-essential"	"DNA-binding transcriptional dual regulator Rob"	4634441	4635310	"-"	"CDS"	1	"b4396"
186	"b2516"	"yfgA"	"non-essential"	"transmembrane component of cytoskeleton"	2641831	2642844	"-"	"CDS"	0	"b2516"
187	"b4089"	"rpiR"	"non-essential"	"DNA-binding transcriptional repressor AlsR"	4312101	4312991	"-"	"CDS"	1	"b4089"
188	"b1608"	"rstA"	"non-essential"	"DNA-binding transcriptional regulator RstA"	1682159	1682878	"+"	"CDS"	1	"b1608"
189	"b3422"	"rtcR"	"non-essential"	"DNA-binding transcriptional activator RtcR"	3558268	3559866	"+"	"CDS"	1	"b3422"
190	"b1013"	"rutR"	"non-essential"	"DNA-binding transcriptional dual regulator RutR"	1074242	1074880	"+"	"CDS"	1	"b1013"
191	"b1916"	"sdiA"	"non-essential"	"DNA-binding transcriptional dual regulator SdiA"	1996110	1996832	"-"	"CDS"	1	"b1916"
192	"b0146"	"sfsA"	"non-essential"	"putative DNA-binding transcriptional regulator of maltose metabolism"	160782	161486	"-"	"CDS"	1	"b0146"
193	"b3188"	"sfsB"	"non-essential"	"putative transcriptional regulator SfsB"	3334909	3335187	"+"	"CDS"	1	"b3188"
194	"b4300"	"sgcR"	"non-essential"	"KpLE2 phage-like element; putative DNA-binding transcriptional regulator SgcR"	4526106	4526888	"-"	"CDS"	1	"b4300"
195	"b0069"	"sgrR"	"non-essential"	"DNA-binding transcriptional dual regulator SgrR"	75644	77299	"-"	"CDS"	1	"b0069"
196	"b3641"	"ttk"	"non-essential"	"nucleoid occlusion factor SlmA"	3814494	3815090	"+"	"CDS"	1	"b3641"
197	"b1642"	"slyA"	"non-essential"	"DNA-binding transcriptional dual regulator SlyA"	1720390	1720824	"-"	"CDS"	1	"b1642"
198	"b4063"	"soxR"	"non-essential"	"DNA-binding transcriptional dual regulator SoxR"	4277469	4277933	"+"	"CDS"	1	"b4063"
199	"b4062"	"soxS"	"non-essential"	"DNA-binding transcriptional dual regulator SoxS"	4277060	4277383	"-"	"CDS"	1	"b4062"
200	"b2707"	"srlR"	"non-essential"	"DNA-binding transcriptional repressor SrlR"	2829047	2829820	"+"	"CDS"	1	"b2707"
201	"b2669"	"stpA"	"non-essential"	"DNA-binding transcriptional repressor StpA with RNA chaperone activity"	2798091	2798495	"-"	"CDS"	1	"b2669"
