Consensus_bnumber	Consensus_symbol	Consensus_start	Consensus_stop	Consensus_strand	Consensus_TF	gene_synonyms	product_synonyms	RegulonDB_gene_id	RegulonDB_symbol	RegulonDB_bnumber	RegulonDB_strand	RegulonDB_type	RegulonDB_product_id	RegulonDB_product_name	RegulonDB_product_type	RegulonDB_start	RegulonDB_stop	RegulonDB_TF	refseq_id
b0011	yaaW	10643	11356	-	0	"b0011,ECK0011,G6082,yaaW,ECK120002702"	"YaaW,ECK120007176,NP_414552.1"	ECK120002702	yaaW	b0011	-	NA	ECK120007176	putative enzyme-specific chaperone YaaW	NA	10643	11356	0	NP_414552.1
b0012	mbiA	10830	11315	+	0	"b0012,ECK0012,EG11509,htgA,htpY,mbiA,ECK120001465"	"HtgA,HtpY,MbiA,ECK120005941"	ECK120001465	mbiA	b0012	+	NA	ECK120005941	uncharacterized protein MbiA	NA	10830	11315	0	NA
b0013	yaaI	11382	11786	-	0	"b0013,ECK0013,G8202,yaaI,ECK120004453"	"YaaI,ECK120008889,NP_414554.1"	ECK120004453	yaaI	b0013	-	NA	ECK120008889	DUF2541 domain-containing protein YaaI	NA	11382	11786	0	NP_414554.1
b0014	dnaK	12163	14079	+	0	"b0014,ECK0014,EG10241,groPAB,groPC,groPF,grpC,grpF,seg,dnaK,ECK120000235"	"DnaK,GrpC,GrpF,heat shock protein 70,Hsp70,Seg,ECK120004711,NP_414555.1"	ECK120000235	dnaK	b0014	+	NA	ECK120004711	chaperone protein DnaK	NA	12163	14079	0	NP_414555.1
ECK120002604	tpke11	14080	14167	+	0	"G0-8893,NA,tpke11,ECK120002604"	"ECK120002604,NA"	ECK120002604	tpke11	NA	+	Phantom Gene	NA	NA	NA	14080	14167	0	NA
b0015	dnaJ	14168	15298	+	0	"b0015,ECK0015,EG10240,groP,grpC,dnaJ,ECK120000234"	"DnaJ,DnaK co-chaperone Hsp40,GroP,GrpC,ECK120004710,NP_414556.1"	ECK120000234	dnaJ	b0015	+	NA	ECK120004710	chaperone protein DnaJ	NA	14168	15298	0	NP_414556.1
b0016	insL1	15445	16557	+	0	"b0016,ECK0016,G6083,yi81-1,insL-1,insL1,ECK120002703"	"InsL1,ECK120007177,NP_414557.1"	ECK120002703	insL1	b0016	+	NA	ECK120007177	IS186/IS421 transposase	NA	15445	16557	0	NP_414557.1
b0017	ECK120002704	15869	16177	-	0	"b0017,G6084,yi82_1,NA,ECK120002704"	"b0017,NA"	ECK120002704	NA	b0017	-	Phantom Gene	NA	NA	NA	15869	16177	0	NA
b4412	hokC	16751	16903	-	0	"b4412,ECK0017,G0-9563,gef,hokC,ECK120002652"	"Gef,HokC, Gef toxin; interferes with membrane function when in excess,ECK120007126,YP_025292.1"	ECK120002652	hokC	b4412	-	NA	ECK120007126	protein HokC	NA	16751	16903	0	YP_025292.1
b0018	mokC	16751	16960	-	0	"b0018,ECK0018,EG10373,gefL,mokC,ECK120000366"	"GefL,MokC,regulatory peptide whose translation enables hokC (gef) expression,ECK120004842,NP_414559.1"	ECK120000366	mokC	b0018	-	NA	ECK120004842	regulatory protein MokC	NA	16751	16960	0	NP_414559.1
b4413	sokC	16952	17006	+	0	"b4413,ECK0019,G0-9581,sof,b4413_ncRNA_16951_17006,sokC,ECK120002653"	"sof,SokC,ECK120007127"	ECK120002653	sokC	b4413	+	NA	ECK120007127	SokC	small RNA	16952	17006	0	NA
b0019	nhaA	17489	18655	+	0	"ant,antA,b0019,ECK0020,EG10652,hyc,nhaA,ECK120000645"	"Ant,AntA,Hyc,NhaA,ECK120005121,NP_414560.1"	ECK120000645	nhaA	b0019	+	NA	ECK120005121	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA	NA	17489	18655	0	NP_414560.1
b0020	nhaR	18715	19620	+	1	"antO,b0020,ECK0021,EG11078,yaaB,nhaR,ECK120001066"	"AntO,NhaR,YaaB,ECK120005542,NP_414561.1"	ECK120001066	nhaR	b0020	+	NA	ECK120005542	DNA-binding transcriptional activator NhaR	NA	18715	19620	1	NP_414561.1
U00096_CDS_19810_20508	insAB1	19811	20508	-	NA	"G0-10535,U00096_CDS_19810_20508,insAB1,ECK120023911"	"U00096_CDS_19810_20508,ECK120023924"	ECK120023911	insAB1	NA	-	NA	ECK120023924	InsAB' transposase	NA	19811	20508	NA	NA
b0021	insB1	19811	20314	-	0	"b0021,ECK0022,G6085,insB-1,insB1,ECK120002705"	"InsB1,ECK120007179,NP_414562.1"	ECK120002705	insB1	b0021	-	NA	ECK120007179	IS1 protein InsB	NA	19811	20314	0	NP_414562.1
b0022	insA1	20233	20508	-	0	"b0022,ECK0023,G6086,insA-1,insA1,ECK120002706"	"InsA1,ECK120007180,NP_414563.1"	ECK120002706	insA1	b0022	-	NA	ECK120007180	IS1 protein InsA	NA	20233	20508	0	NP_414563.1
b0023	rpsT	20815	21078	-	0	"b0023,ECK0024,EG10919,sup(s20),supS,supS20,rpsT,ECK120000910"	"RpsT,SupS,ECK120005386,NP_414564.1"	ECK120000910	rpsT	b0023	-	NA	ECK120005386	30S ribosomal subunit protein S20	NA	20815	21078	0	NP_414564.1
b0024	yaaY	21181	21399	+	0	"b0024,ECK0025,G6087,yaaY,ECK120002707"	"YaaY,ECK120007181,NP_414565.1"	ECK120002707	yaaY	b0024	+	NA	ECK120007181	DUF2575 domain-containing protein YaaY	NA	21181	21399	0	NP_414565.1
b0025	ribF	21407	22348	+	0	"b0025,ECK0026,EG11079,yaaC,ribF,ECK120001067"	"RibF,YaaC,ECK120005543,NP_414566.1"	ECK120001067	ribF	b0025	+	NA	ECK120005543	bifunctional riboflavin kinase / FMN adenylyltransferase	NA	21407	22348	0	NP_414566.1
b0026	ileS	22391	25207	+	0	"b0026,ECK0027,EG10492,ilvS,ileS,ECK120000485"	"IleRS,IleS,IlvS,ECK120004961,NP_414567.1"	ECK120000485	ileS	b0026	+	NA	ECK120004961	isoleucine&mdash;tRNA ligase	NA	22391	25207	0	NP_414567.1
b0027	lspA	25207	25701	+	0	"b0027,ECK0028,EG10548,lsp,lspA,ECK120000541"	"diacylglycerol prolipoprotein signal peptidase,leader peptidase II,Lsp,LspA,premurein-leader peptidase,prolipoprotein signal peptidase,signal peptidase II,SPase II,ECK120005017,NP_414568.1"	ECK120000541	lspA	b0027	+	NA	ECK120005017	lipoprotein signal peptidase	NA	25207	25701	0	NP_414568.1
b0028	fkpB	25826	26275	+	0	"b0028,ECK0029,EG11080,slpA,yaaD,fkpB,ECK120001068"	"FkpB,SlpA,YaaD,ECK120005544,NP_414569.1"	ECK120001068	fkpB	b0028	+	NA	ECK120005544	peptidyl-prolyl <i>cis-trans</i> isomerase FkpB	NA	25826	26275	0	NP_414569.1
b0029	ispH	26277	27227	+	0	"b0029,ECK0030,EG11081,lytB,yaaE,ispH,ECK120001069"	"IspH,LytB,YaaE,ECK120005545,NP_414570.1"	ECK120001069	ispH	b0029	+	NA	ECK120005545	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	NA	26277	27227	0	NP_414570.1
b0030	rihC	27293	28207	+	0	"b0030,ECK0031,EG11082,yaaF,rihC,ECK120001070"	"ribonucleoside hydrolase 3,RihC,YaaF,ECK120005546,NP_414571.1"	ECK120001070	rihC	b0030	+	NA	ECK120005546	ribonucleoside hydrolase RihC	NA	27293	28207	0	NP_414571.1
b0031	dapB	28374	29195	+	0	"b0031,ECK0032,EG10206,dapB,ECK120000200"	"DapB,DHPR,dihydrodipicolinate reductase,ECK120004676,NP_414572.1"	ECK120000200	dapB	b0031	+	NA	ECK120004676	4-hydroxy-tetrahydrodipicolinate reductase	NA	28374	29195	0	NP_414572.1
U00096_ncRNA_28508_28620	nc9	28509	28620	+	NA	"U00096_ncRNA_28508_28620,nc9,ECK125203390"	"trans-encoded antisense RNA,ECK125203391"	ECK125203390	nc9	NA	+	NA	ECK125203391	Nc9	small RNA	28509	28620	NA	NA
b0032	carA	29651	30799	+	0	"arg,b0032,cap,ECK0033,EG10134,pyrA,carA,ECK120000130"	"&alpha; chain,Arg,Cap,CarA,carbamoyl phosphate synthetase, &alpha; chain,PyrA,small chain,ECK120004606,NP_414573.1"	ECK120000130	carA	b0032	+	NA	ECK120004606	carbamoyl phosphate synthetase subunit &alpha;	NA	29651	30799	0	NP_414573.1
b0033	carB	30817	34038	+	0	"b0033,cap,ECK0034,EG10135,pyrA,carB,ECK120000131"	"&beta; chain,Cap,CarB,carbamoyl phosphate synthetase, &beta; chain,large chain,PyrA,ECK120004607,NP_414574.1"	ECK120000131	carB	b0033	+	NA	ECK120004607	carbamoyl phosphate synthetase subunit &beta;	NA	30817	34038	0	NP_414574.1
b0034	caiF	34300	34695	+	1	"b0034,ECK0035,G6088,caiF,ECK120002708"	"CaiF,ECK120007182,NP_414576.4"	ECK120002708	caiF	b0034	+	NA	ECK120007182	DNA-binding transcriptional activator CaiF	NA	34300	34695	1	NP_414576.4
b0035	caiE	34781	35371	-	0	"b0035,ECK0036,EG12608,caiE,ECK120002330"	"CaiE,ECK120006805,NP_414577.2"	ECK120002330	caiE	b0035	-	NA	ECK120006805	putative transferase CaiE	NA	34781	35371	0	NP_414577.2
b0036	caiD	35377	36162	-	0	"b0036,ECK0037,EG11557,yaaL,caiD,ECK120001510"	"CaiD,YaaL,ECK120005986,NP_414578.2"	ECK120001510	caiD	b0036	-	NA	ECK120005986	crotonobetainyl-CoA hydratase	NA	35377	36162	0	NP_414578.2
b0037	caiC	36271	37824	-	0	"b0037,ECK0038,EG11558,yaaM,caiC,ECK120001511"	"CaiC,YaaM,ECK120005987,NP_414579.4"	ECK120001511	caiC	b0037	-	NA	ECK120005987	carnitine&mdash;CoA ligase	NA	36271	37824	0	NP_414579.4
b0038	caiB	37898	39115	-	0	"b0038,ECK0039,EG11559,yaaN,caiB,ECK120001512"	"CaiB,YaaN,ECK120005988,NP_414580.1"	ECK120001512	caiB	b0038	-	NA	ECK120005988	&gamma;-butyrobetainyl-CoA:carnitine CoA transferase	NA	37898	39115	0	NP_414580.1
b0039	caiA	39244	40386	-	0	"b0039,ECK0040,EG11560,yaaO,caiA,ECK120001513"	"CaiA,YaaO,ECK120005989,NP_414581.1"	ECK120001513	caiA	b0039	-	NA	ECK120005989	crotonobetainyl-CoA reductase	NA	39244	40386	0	NP_414581.1
b0040	caiT	40417	41931	-	0	"b0040,ECK0041,EG11561,yaaP,caiT,ECK120001514"	"CaiT,YaaP,ECK120005990,NP_414582.1"	ECK120001514	caiT	b0040	-	NA	ECK120005990	L-carnitine:&gamma;-butyrobetaine antiporter	NA	40417	41931	0	NP_414582.1
b0041	fixA	42403	43173	+	0	"b0041,ECK0042,EG11562,yaaQ,fixA,ECK120001515"	"FixA,putative electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain,YaaQ,ECK120005991,NP_414583.2"	ECK120001515	fixA	b0041	+	NA	ECK120005991	putative electron transfer flavoprotein FixA	NA	42403	43173	0	NP_414583.2
b0042	fixB	43188	44129	+	0	"b0042,ECK0043,EG11563,yaaR,fixB,ECK120001516"	"FixB,putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like,YaaR,ECK120005992,NP_414584.1"	ECK120001516	fixB	b0042	+	NA	ECK120005992	putative electron transfer flavoprotein FixB	NA	43188	44129	0	NP_414584.1
b0043	fixC	44180	45466	+	0	"b0043,ECK0044,EG11564,yaaS,fixC,ECK120001517"	"FixC,flavoprotein (electron transport), possibly involved in anaerobic carnitine metabolism,YaaS,ECK120005993,NP_414585.1"	ECK120001517	fixC	b0043	+	NA	ECK120005993	putative oxidoreductase FixC	NA	44180	45466	0	NP_414585.1
b0044	fixX	45463	45750	+	0	"b0044,ECK0045,EG11565,yaaT,fixX,ECK120001518"	"FixX,putative ferredoxin possibly involved in anaerobic carnitine metabolism,YaaT,ECK120005994,NP_414586.1"	ECK120001518	fixX	b0044	+	NA	ECK120005994	putative ferredoxin FixX	NA	45463	45750	0	NP_414586.1
b0045	yaaU	45807	47138	+	0	"b0045,ECK0046,EG11566,yabE,yaaU,ECK120001519"	"YaaU,YabE,ECK120005995,NP_414587.1"	ECK120001519	yaaU	b0045	+	NA	ECK120005995	putative transporter YaaU	NA	45807	47138	0	NP_414587.1
b0046	kefF	47246	47776	+	0	"b0046,ECK0047,EG11568,yabF,kefF,ECK120001520"	"KefF,YabF,ECK120005996,NP_414588.1"	ECK120001520	kefF	b0046	+	NA	ECK120005996	regulator of KefC-mediated potassium transport and quinone oxidoreductase	NA	47246	47776	0	NP_414588.1
b0047	kefC	47769	49631	+	0	"b0047,ECK0048,EG10521,trkC,kefC,ECK120000514"	"KefC,TrkC,ECK120004990,NP_414589.1"	ECK120000514	kefC	b0047	+	NA	ECK120004990	K<sup>+</sup> : H<sup>+</sup> antiporter KefC	NA	47769	49631	0	NP_414589.1
b0048	folA	49823	50302	+	0	"b0048,ECK0049,EG10326,tmr,tmrA,folA,ECK120000320"	"FolA,Tmr,TmrA,ECK120004796,NP_414590.1"	ECK120000320	folA	b0048	+	NA	ECK120004796	dihydrofolate reductase	NA	49823	50302	0	NP_414590.1
b0049	apaH	50380	51222	-	0	"b0049,cfcB,ECK0050,EG10048,apaH,ECK120000044"	"ApaH,CfcB,ECK120004520,NP_414591.1"	ECK120000044	apaH	b0049	-	NA	ECK120004520	diadenosine tetraphosphatase	NA	50380	51222	0	NP_414591.1
b0050	apaG	51229	51606	-	0	"b0050,ECK0051,EG10047,apaG,ECK120000043"	"ApaG,ECK120004519,NP_414592.1"	ECK120000043	apaG	b0050	-	NA	ECK120004519	DUF525 domain-containing protein ApaG	NA	51229	51606	0	NP_414592.1
b0051	rsmA	51609	52430	-	0	"b0051,ECK0052,EG10523,ksgA,rsmA,ECK120000516"	"KsgA,ribosomal RNA small subunit methyltransferase A,rRNA small subunit methyltransferase A,RsmA,ECK120004992,NP_414593.1"	ECK120000516	rsmA	b0051	-	NA	ECK120004992	"16S rRNA m<sup>6</sup><sub>2</sub>A1518,m<sup>6</sup><sub>2</sub>A1519 dimethyltransferase"	NA	51609	52430	0	NP_414593.1
b0052	pdxA	52427	53416	-	0	"b0052,ECK0053,EG10691,pdxA,ECK120000684"	"PdxA,ECK120005160,NP_414594.1"	ECK120000684	pdxA	b0052	-	NA	ECK120005160	4-hydroxythreonine-4-phosphate dehydrogenase	NA	52427	53416	0	NP_414594.1
b0053	surA	53416	54702	-	0	"b0053,ECK0054,EG10985,surA,ECK120000974"	"PPIase,SurA,ECK120005450,NP_414595.1"	ECK120000974	surA	b0053	-	NA	ECK120005450	peptidyl-prolyl <i>cis-trans</i> isomerase SurA	NA	53416	54702	0	NP_414595.1
b0054	lptD	54755	57109	-	0	"b0054,ECK0055,EG11569,imp,ostA,yabG,lptD,ECK120001521"	"Imp,LptD,OstA,YabG,ECK120005997,NP_414596.1"	ECK120001521	lptD	b0054	-	NA	ECK120005997	lipopolysaccharide assembly protein LptD	NA	54755	57109	0	NP_414596.1
b0055	djlA	57364	58179	+	0	"b0055,ECK0056,EG11570,yabH,djlA,ECK120001522"	"DjlA,YabH,ECK120005998,NP_414597.1"	ECK120001522	djlA	b0055	+	NA	ECK120005998	co-chaperone protein DjlA	NA	57364	58179	0	NP_414597.1
b0056	yabP	58474	59124	+	0	"b0056,b4659,ECK0057,EG12610,yabP,ECK120002332"	"YabP,ECK120006807"	ECK120002332	yabP	b0056	+	NA	ECK120006807	putative uncharacterized protein YabP	NA	58474	59124	0	NA
b0057	yabQ	59121	59279	+	0	"b0057,b4659,ECK0058,EG12611,yabQ,ECK120002333"	"YabQ,ECK120006808"	ECK120002333	yabQ	b0057	+	NA	ECK120006808	protein YabQ	NA	59121	59279	0	NA
b0058	rluA	59687	60346	-	0	"b0058,ECK0059,EG12609,yabO,rluA,ECK120002331"	"23S rRNA and tRNA pseudouridine synthase,ribosomal large subunit pseudouridine synthase A,RluA,YabO,ECK120006806,NP_414600.1"	ECK120002331	rluA	b0058	-	NA	ECK120006806	23S rRNA pseudouridine<sup>746</sup> and tRNA pseudouridine<sup>32</sup> synthase	NA	59687	60346	0	NP_414600.1
b0059	rapA	60358	63264	-	0	"b0059,ECK0060,EG11083,hepA,yabA,rapA,ECK120001071"	"HepA,RapA,RNA polymerase (RNAP)-binding ATPase and RNAP recycling factor,YabA,ECK120005547,NP_414601.1"	ECK120001071	rapA	b0059	-	NA	ECK120005547	RNA polymerase-binding ATPase and RNAP recycling factor	NA	60358	63264	0	NP_414601.1
b0060	polB	63429	65780	-	0	"b0060,dinA,ECK0061,EG10747,polB,ECK120000738"	"DinA,PolB,ECK120005214,NP_414602.1"	ECK120000738	polB	b0060	-	NA	ECK120005214	DNA polymerase II	NA	63429	65780	0	NP_414602.1
b0061	araD	65855	66550	-	0	"b0061,ECK0062,EG10055,araD,ECK120000051"	"AraD,ECK120004527,NP_414603.1"	ECK120000051	araD	b0061	-	NA	ECK120004527	L-ribulose-5-phosphate 4-epimerase AraD	NA	65855	66550	0	NP_414603.1
b0062	araA	66835	68337	-	0	"b0062,ECK0063,EG10052,araA,ECK120000048"	"AraA,ECK120004524,NP_414604.1"	ECK120000048	araA	b0062	-	NA	ECK120004524	L-arabinose isomerase	NA	66835	68337	0	NP_414604.1
b0063	araB	68348	70048	-	0	"b0063,ECK0064,EG10053,araB,ECK120000049"	"AraB,ECK120004525,NP_414605.1"	ECK120000049	araB	b0063	-	NA	ECK120004525	ribulokinase	NA	68348	70048	0	NP_414605.1
b0064	araC	70387	71265	+	1	"b0064,ECK0065,EG10054,araC,ECK120000050"	"AraC,ECK120004526,NP_414606.1"	ECK120000050	araC	b0064	+	NA	ECK120004526	DNA-binding transcriptional dual regulator AraC	NA	70387	71265	1	NP_414606.1
b0065	yabI	71351	72115	+	0	"b0065,ECK0066,EG11571,yabI,ECK120001523"	"YabI,ECK120005999,NP_414607.1"	ECK120001523	yabI	b0065	+	NA	ECK120005999	DedA family protein YabI	NA	71351	72115	0	NP_414607.1
b0066	thiQ	72229	72927	-	0	"b0066,ECK0067,EG11572,sfuC,yabJ,thiQ,ECK120001524"	"SfuC,ThiQ,YabJ,ECK120006000,NP_414608.1"	ECK120001524	thiQ	b0066	-	NA	ECK120006000	thiamine ABC transporter ATP binding subunit	NA	72229	72927	0	NP_414608.1
b0067	thiP	72911	74521	-	0	"b0067,ECK0068,EG11573,sfuB,yabK,thiP,ECK120001525"	"SfuB,ThiP,YabK,ECK120006001,NP_414609.1"	ECK120001525	thiP	b0067	-	NA	ECK120006001	thiamine ABC transporter membrane subunit	NA	72911	74521	0	NP_414609.1
b0068	thiB	74497	75480	-	0	"b0068,ECK0069,EG11574,sfuA,tbpA,yabL,thiB,ECK120001526"	"SfuA,TBP,TbpA,ThiB,YabL,ECK120006002,NP_414610.1"	ECK120001526	thiB	b0068	-	NA	ECK120006002	thiamine ABC transporter periplasmic binding protein	NA	74497	75480	0	NP_414610.1
b4762	sroA	75516	75608	-	0	"b4762,ECK4619,G0-9381,tpe79,b4762_ncRNA_75515_75608,sroA,ECK120002641"	"ig:44,small RNA SroA,THI-box 5',thiB,ThiB5',tpe79-5',ECK125276538"	ECK120002641	sroA	b4762	-	NA	ECK125276538	SroA	small RNA	75516	75608	0	NA
b0069	sgrR	75644	77299	-	1	"b0069,ECK0070,EG12094,yabN,sgrR,ECK120001999"	"SgrR,YabN,ECK120006475,NP_414611.1"	ECK120001999	sgrR	b0069	-	NA	ECK120006475	DNA-binding transcriptional dual regulator SgrR	NA	75644	77299	1	NP_414611.1
b4577	sgrS	77367	77593	+	0	"b4577,ECK0071,G0-9941,ryaA,b4577_ncRNA_77366_77593,sgrS,ECK120002667"	"ryaA,small regulatory RNA SgrS,ECK120007141"	ECK120002667	sgrS	b4577	+	NA	ECK120007141	SgrS	small RNA	77367	77593	0	NA
b4662	sgrT	77388	77519	+	0	"b4662,ECK4477,G0-10617,sgrT,ECK120033551"	"SgrT,ECK120033552,YP_002791237.1"	ECK120033551	sgrT	b4662	+	NA	ECK120033552	PtsG glucose transporter inhibitor	NA	77388	77519	0	YP_002791237.1
b0070	setA	77621	78799	+	0	"b0070,ECK0072,EG11754,yabM,setA,ECK120001692"	"SetA,YabM,ECK120006168,YP_025293.1"	ECK120001692	setA	b0070	+	NA	ECK120006168	sugar exporter SetA	NA	77621	78799	0	YP_025293.1
b0071	leuD	78848	79453	-	0	"b0071,ECK0073,EG11575,leuD,ECK120001527"	"3-isopropylmalate dehydratase, small subunit,LeuD,ECK120006003,NP_414613.1"	ECK120001527	leuD	b0071	-	NA	ECK120006003	3-isopropylmalate dehydratase subunit LeuD	NA	78848	79453	0	NP_414613.1
b0072	leuC	79464	80864	-	0	"b0072,ECK0074,EG11576,leuC,ECK120001528"	"3-isopropylmalate dehydratase, large subunit,LeuC,ECK120006004,NP_414614.1"	ECK120001528	leuC	b0072	-	NA	ECK120006004	3-isopropylmalate dehydratase subunit LeuC	NA	79464	80864	0	NP_414614.1
b0073	leuB	80867	81958	-	0	"b0073,ECK0075,EG11577,leuB,ECK120001529"	"LeuB,ECK120006005,NP_414615.4"	ECK120001529	leuB	b0073	-	NA	ECK120006005	3-isopropylmalate dehydrogenase	NA	80867	81958	0	NP_414615.4
b0074	leuA	81958	83529	-	0	"b0074,ECK0076,EG11226,leuA,ECK120001204"	"LeuA,ECK120005680,NP_414616.1"	ECK120001204	leuA	b0074	-	NA	ECK120005680	2-isopropylmalate synthase	NA	81958	83529	0	NP_414616.1
b0075	leuL	83622	83708	-	0	"b0075,ECK0077,EG11280,leuIP,leulL,leulLP,leuLP,leuL,ECK120001253"	"LeuL,ECK120005729,NP_414617.1"	ECK120001253	leuL	b0075	-	NA	ECK120005729	<i>leu</i> operon leader peptide	NA	83622	83708	0	NP_414617.1
b0076	leuO	84368	85312	+	1	"b0076,ECK0078,EG10531,leuO,ECK120000524"	"LeuO,ECK120005000,NP_414618.4"	ECK120000524	leuO	b0076	+	NA	ECK120005000	DNA-binding transcriptional dual regulator LeuO	NA	84368	85312	1	NP_414618.4
b4726	yabR	85467	85511	-	0	"b4726,ECK4583,G0-16721,yabR,ECK125276528"	"YabR,ECK125276574"	ECK125276528	yabR	b4726	-	NA	ECK125276574	protein YabR	NA	85467	85511	0	NA
b0077	ilvI	85630	87354	+	0	"b0077,ECK0079,EG10500,ilvI,ECK120000493"	"IlvI,ECK120004969,YP_025294.2"	ECK120000493	ilvI	b0077	+	NA	ECK120004969	"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit"	NA	85630	87354	0	YP_025294.2
b0078	ilvH	87357	87848	+	0	"b0078,brnP,ECK0080,EG10499,ilvH,ECK120000492"	"BrnP,IlvH,ECK120004968,NP_414620.1"	ECK120000492	ilvH	b0078	+	NA	ECK120004968	"acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit"	NA	87357	87848	0	NP_414620.1
b0079	fruL	87860	87946	+	0	"b0079,EG11273,NA,fruL,ECK120001247"	"b0079,NA"	ECK120001247	fruL	b0079	+	Phantom Gene	NA	NA	NA	87860	87946	0	NA
b0080	cra	88028	89032	+	1	"b0080,ECK0081,EG10338,fruC,fruR,shl,cra,ECK120000332"	"Cra,FruC,FruR,Shl,ECK120004808,NP_414622.1"	ECK120000332	cra	b0080	+	NA	ECK120004808	DNA-binding transcriptional dual regulator Cra	NA	88028	89032	1	NP_414622.1
b0081	mraZ	89634	90092	+	1	"b0081,ECK0082,EG11084,yabB,mraZ,ECK120001072"	"MraZ,YabB,ECK120005548,NP_414623.1"	ECK120001072	mraZ	b0081	+	NA	ECK120005548	DNA-binding transcriptional repressor MraZ	NA	89634	90092	1	NP_414623.1
